Name;Name2;Name3;;Stadt;Land
Royal Botanical Garden, Godawari / Lalitpur;Arboretum and Conservation;Dept. of plant resources;;Kathmandu;NEPAL
Christchurch Botanic Gardens;Botanical Resources Coordinator;Park & Waterways Unit, Christchurch City Council;;Christchurch 8140;NEW ZEALAND
Orto Botanico;di Bergamo;"Lorenzo Rota";;Bergamo;ITALY
Hong Kong Herbarium;Agricultur, Fisheries & Conservation Dep. 7/F.,;Cheung Sha Wan Government Offices;;Hong Kong;HONG KONG
BOTANIKUS KERTJE;Magyar Tudományos Akadémia;Ökológiai és Botanikai;;Vácrátót;HUNGARY
The Parks Manager;Timaru Botanic Gardens;Timaru District Council;;TIMARU;NEW ZEALAND
Principauté de Monaco;Service de L'Áménagement Urbain;;;Monaco Cedex;MONACO
Tuzson Janos Botanicus Kert;Nyiregyhàzi Föiskola;;;Nyíregyháza;HUNGARY
Hortus Botanicus;B.M. Kozo-Poljanskii;Universitatis Voronegiensis;;Voronezh;RUSSIA
Botanischer Garten;;;;St. Gallen;SCHWEIZ
Budapest Fövárosi Allat és Növénykert,;Zoo- Botanic Garden;Bp. 5.  Pf. 469;;Budapest;HUNGARY
Hortus en terreinen van de;Vrije Universiteit;;;Amsterdam;NETHERLANDS
Botanische Tuin I.V.N.;;;;Elsloo/Limb.;NETHERLANDS
University of Athens;Julia & Alexander N. Diomides;Botanic Garden;;Athens - Hellas;GREECE
Botanische tuin De Heimanshof;p.a. H.Nijenhuis;;;Hoofddorp;NETHERLANDS
Moor Bank Gardens;University of Newcastle-on-Tyne;;;Newcastle NE2 4NL;United Kingdom
Fletcher Moss Botanic Gardens;Mill Lane,;Didsbury;;Manchester M20 2SW;United Kingdom
Botanical Gardens;;;;Glasgow/Scotl. G12 0UE;United Kingdom
Cally Gardens;Gatehouse of Fleet;;;Castle Douglas/Scotl.DG7 2DJ;United Kingdom
University Botanic Garden;;;;Cambridge CB2 1JE;United Kingdom
Botanic Garden;Bristol University;c/o Waltham CottageYard;;Bristol/England BS9 1JB;United Kingdom
Janus Pannonius Tudomanyegaetem;Növenytani Tanszek es;Botanikus Kert, Hortus Botanikus Universitatis;;Pécs;HUNGARY
Giardino Botanico Alpino;Di Pietra Corva;c/o Provincia di Pavia;;Pavia;ITALY
Bogor Botanic Gardens;Lombaga Ilmu Pengotahuan Indonesia;Pusat Konservasi Tumbuhan-Kebun Raya Bogor;;Bogor, 16122 / WEST JAVA;INDONESIA
Jerusalem Botanical Garden;Institute of Live Sciences;The Hebrew University;;Jerusalem 91904;ISRAEL
Laboratory of Floriculture;and Ornamental Horticultre;Faculty of Horticulture;;Matsudo-City, Chiba Prefecture,  271-8510;JAPAN
Research Center for Medical Plant Resources;National Institute of Biomedical Innovation;1 Hachimandai, Tsukuba-Shi;;Ibaraki Prefecture, 305-0843;JAPAN
Kanagawa prefectural;OFUNA BOTANICAL GARDEN;;;Kanagawa-ken  247-0072;JAPAN
The Aritaki Arboretum;;;;Koshigaya-shi;JAPAN
Kyoto Botanical Garden;Hangi-cho;Shimogamo;;Kyoto 606-0823;JAPAN
Orto Botanico Friulano;;;;Udine;ITALY
Comune di Trieste;Civico Orto Botanico;;;Trieste;ITALY
Giardino Botanico Alpino 'Viotte';Museo Tridentino di Scienze Naturali;;;Trento;ITALY
Kyoto Takeda Herbal Garden;Takenouchi-cho 11;Ichijoji;;Kyoto 606-8134;JAPAN
Hortus Botanicus;seed laboratory of Botanical Garden;Academiae Scientarum Rossicae;;St. Petersburg;RUSSIA
Orto Botanico;Dipartimento;di Scienze Botaniche;;Pisa;ITALY
Jardin Botanique;Exotique Val Rahmeh;;;Menton Garavan;FRANCE
Orto Botanico;dell Università di Padova;;;Padova;ITALY
Göteborgs Botaniska Trädgard;;;;Göteborg;SWEDEN
Botanic Garden;Faculty of Agriculture;Hokkaido University;;Sapporo, Hokkaido, 060-0003;JAPAN
Dendrariy / Arboretum of;Ivanovo State Agricultural Academy;;;Ivanovo;RUSSIA
Botanical Garden;Tohoku University;;;Sendai;JAPAN
Main Botanical Garden of Kazakhstan;Inst. of Plant Physiology;Genetics & Bioengineering;;Almaty (Alma-Ata);Republic of Kazakhstan
Hortus Botanicus;Institute of Phytochemistry;;;Quaraghandy (Karaganda);Republic of Kazakhstan
Botanical Garden;of NAS KR;;;Bishkek;KYRGHYSTAN REPUBLIC
Hortus Botanicus;Chuchur-Muran;;;Jakutsk;RUSSIA
Botanikos Sodas;Vilniaus Universitetas;;;Vilnius - 40;LITHUANIA
Hortus Botanikus;;P.O.Box 22;;Stavropol'/Kauk.;RUSSIA
Hortus Botanicus;St. Petersburg Forest Technical Academy;Academiae Silvo-technicae;;St. Petersburg;RUSSIA
Kamigamo Experimental Station,;Field Science Education & Research Center,;Kyoto Univercity, 2 Motoyama,;;Kyoto 603-8047;JAPAN
Forstbotanischer Garten;TU Dresden,  Fachrichtung;Forstwissenschaften Tharandt;;Tharandt;Deutschland
Banco de Semillas;Escuela T.S. de Ing.Agronomos;Universidad Politecnica de Madrid;;Madrid;SPAIN
Jardin Botanico de Cordoba;Banco de Germoplasma Vegetal Andaluz;;;Cordoba;SPAIN
Jardi Botanic Marimurtra;Estatio International de Biologia Mediterrania;Apartat. 112;;Blanes /Girona;SPAIN
Jardi Botanic de Barcelona;Index Seminum;Parque de Montjuic;;Barcelona;SPAIN
Jardin Botanico Nacional;„Dr. Rafael Ma. Moscoso";Departamento de Horticultura, Apto.Postal  21 - 9;;Santo Domingo;THE DOMINICAN REPUBLIC
Herbarium;Dept. of Systematic Botany, Ins. of Biol. Sciences;University of Aarhus, Building 1137;;Aarhus C;DANMARK
Botanisk Have;Arhus Kommunes;Naturforvaltningen;;Aarhus C;DANMARK
Botanischer Garten der Bayerischen;Julius-Maximilians-Universität Würzburg;;;Würzburg;Deutschland
Ogrod Roslin Leczniczych;Katedra i Zaklad Biologii i Botaniki Farmaceutyczn;Akademii Medycznej ew Wroclawu;;Wroclaw;POLAND
Botanischer Garten;der Stadt Wilhelmshaven;;;Wilhelmshaven;Deutschland
Hortus Botanicus;Reykjavicensis;;;Reykjavík;ICELAND
Cruickshank Botanic Garden;University opf Aberdeen;Dep. of Plant & Soil Science;;Aberdeen AB24 3UU /Scotland;United Kingdom
Botanical Garden;Szent Istvan University, Fac. of Agricultural;Dept. of Botany & Plant Physiology;;Gödöllö;HUNGARY
Jardin Botanico Universitario;de Sierra Nevada;Universidad de Granada;;Granada;SPAIN
Wilhelma;Zoologisch-botanischer Garten;;;Stuttgart;Deutschland
Botanischer Garten;Universität Rostock;;;Rostock;Deutschland
Botanischer Garten;der Universität Regensburg;;;Regensburg;Deutschland
Botanischer Garten;der Universität Potsdam;Postfach 60 15 53;;Potsdam;Deutschland
Botanischer Garten Universität Osnabrück;Fachber. Biologie/Chemie;;;Osnabrück;Deutschland
Gradina Botanica;"Alexandru Buia";a Universitatii;;Craiova;ROMANIA
Botanischer Garten München;;;;München;Deutschland
Gartenbauamt Bad Langensalza;- Botanischer Garten -;;;Bad Langensalza;Deutschland
Botanischer Garten;Amt für Grünflächen & Friedhöfe;Botanischer Garten;;Mönchengladbach;Deutschland
Botanischer Garten;der Johannes Gutenberg Univ.;;;Mainz;Deutschland
Botanischer Garten;Fakultät für Biologie;Universität Konstanz;;Konstanz;Deutschland
Botanischer Garten;der Stadt Köln;;;Köln;Deutschland
Dendrological Garden;of August Cieszkowski;Agricultural University of Poznan;;Poznan;POLAND
Jardim Botanico;da Universidade de Lisboa;Servico de Sementes;;Lisboa;PORTUGAL
Botanischer Garten;der Christian-Albrecht-Universität;;;Kiel;Deutschland
Bernard Bouet;Phoenix Parc Floral de Nice;Les Hortensias Bat C;;Saint Laurent Du Var;FRANCE
Botanical Gardens;Wageningen Agricultural Univ.;;;Wageningen;NETHERLANDS
Université Joseph Fourier de Grenoble;Jardin Alpin du Lautaret;;;Grenoble Cedex 9;FRANCE
Jean-Luc GATARD;La Vergne Gestin;;;La Chaize le Vicomte;FRANCE
Botanic Garden Munstergeleen;Seed Exchange;;;Munstergeleen;NETHERLAND
Jardim Botanico;da Universidade;Arcos do Jardim;;Coimbra;PORTUGAL
Jardim Botanico do Faial;;;;Horta (Faial);PORTUGAL
Jardin Botanique Alpin;'La Jaysinia';Station d'Ecologie Végétale;;Samoëns;FRANCE
Jardim-Museu Agricola Tropical;;;;Lisboa;PORTUGAL
Museum National d'Histoire Naturelle;Département des Jardins Botaniques et Zoologiques;Graineterie;;Paris cedex 05;FRANCE
Arboretum National des Barres;E.N.G.R.E.F.;Domaine des Barres;;Nogent-s-Vernisson;FRANCE
Jardi Botanic de Soller;;Apartado 44;;Soller (Illes Balears  - Mallorca);SPAIN
VILLE DE NANTES;Jardin Botanique;Service des Espaces Verts et de l'Environnement;;Nantes Cedex 01;FRANCE
Jardi Botanic de Valencia;LA UNIVERSITAT DE VALÈNCIA;Jaime Güemes;;Valencia;SPAIN
Estacao Agronomica Nacional;Herbario A.R. Pinto da Silva;;;Oeiras;PORTUGAL
Jardim Botanico da Madeira;;;;Funchal (Madeira);PORTUGAL
Arboretum Goluchów;Osrodek Kultury Lesnej;;;Goluchów;POLAND
Jardin Botanique;de Talence;;;Bordeaux;FRANCE
Ogród Botaniczny;;;;Lódz - 28;POLAND
Institute of Pharmacy;Tartu Univercity;Ulve Pihlik;;Tartu;ESTONIA
Hortus Plantarum Medicarum;Academiae Medicae Lodzensis;;;Lódz;POLAND
Hortus Botanicus;Tallinnensis;;;Tallinn;ESTONIA
Ogrod Botaniczny;Uniwersytetu Im.A.Mickiewicza;;;Poznan;POLAND
Jardin Botanico Atlantico;;;;Gijón (Asturias);SPAIN
Department of Medic. Plants;Academy of Medicine;Poznan University of Medical Sciences;;Poznan;POLAND
Hortus Botanicus;Leiden;;;Leiden;NETHERLANDS
Jardin Botanique;de la Ville de Nice;Service des Espaces Verts;;Nice;FRANCE
