Name;Name2;Name3;;Stadt;Land
Hortus Botanicus;Botanical Garden SFU;Botanisheskiy spusk 7;;Rostov on Don;RUSSIA
University Botanical Gardens;Balchik;;;Balchik;BULGARIA
Green Support Services, Horticultural Gardens;University of Copenhagen;Faculty of Life Sciences;;Frederiksberg C;DANMARK
Ing. Thomas Ster;Österreichische Gartenbaugesellschaft;Landesgruppe Steiermark;;Graz;ÖSTERREICH
Jardín Botánico Lucien Hauman;Facultad de Agronomía;Universidad Nacional de Buenos Aires;;Capital Federal;ARGENTINA
Arboretum Hof ter Saksen;Gemeente Beveren;;;Beveren;BELGIUM
Plantentuin;van de Universiteit;;;Gent;BELGIUM
Arboretum Kalmthout v. z. w.;;;;Kalmthout;BELGIUM
Botanischer Garten;der Universität Salzburg;;;Salzburg;ÖSTERREICH
Rivierenhof;Diensthoofd;;;Deurne;BELGIUM
Botanischer Garten;der Stadt Linz;Samentausch;;Linz;ÖSTERREICH
Barry Greig Devonian Botanic Garden;University of Alberta;;;Edmonton /Alberta T6G 2E1;CANADA
Jardin botanique de Montréal;Index Seminum;;;Montréal  (Québec)H1X 2B2;CANADA
Botanical Garden & Center for Plant Research;University of Brit. Columbia;;;Vancouver /B.C. V6T 1Z4;CANADA
Parc de la Dauphinelle;a/s M Larochelle;;;51 Cantley, QC J8V 3B2;CANADA
Botanischer Garten;Merian Park;;;Basel-Brüglingen;SCHWEIZ
Botanischer Garten;der Universität;;;Bern;SCHWEIZ
Conservatoire et;Jardin Botanique;Ville de Genève;;Chambésy /Geneve;SCHWEIZ
Jardin Botanique National;Ministre des Classes moyennes;et de l'Agriculture;;Meise;BELGIUM
Zoolog.& Bot. Garden of Plzen;Zoologická a botanická;zahrada mesta Plzne;;Plzen;CZECH REPUBLIC
Jardin alpin de Pont de Nant;La Thomasia;;;LES PLANS / BEX (Suisse);SCHWEIZ
Beijing;Botanical Garden;(North Garden);;Beijing 100093;PEOPLE'S REP. OF CHINA
South China Botanical Garden;Chinese Academy of Science;;;Guangzhou, Guangdong 510650;PEOPLE'S REP. OF CHINA
Lushan Botanical Garden;Hanpokuo;;;Lushan, Jiangxi Prov.;PEOPLE'S REP. OF CHINA
The Shanghai Botanic Garden;;;;Shanghai;PEOPLE'S REP. OF CHINA
Hangzhou Botanical Garden;;;;Hangzhou Zhejiang;PEOPLE'S REP. OF CHINA
Botanischer Garten;der Universität Wien;;;Wien;ÖSTERREICH
Botanická zahrada;Masarykovy univerzity;Přírodovědecké fakulty;;Brno;CZECH REPUBLIC
Jardin Botanique;de l'Université;;;Neuchâtel;SCHWEIZ
Botanicka zahrada;The Charles University in Prague;;;Praha;CZECH REPUBLIC
SUCCULENTARUM PLANTARUM;COLLECTIO UNIVERSALIS;Phil. Dr. Adolf Tomandl;;Prostejov;CZECH REPUBLIC
Silva Tarouca Research Institute;for Landscape and Ornamental Gardening;Dendrologická zaharda;;Pruhonice;CZECH REPUBLIC
